System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.52(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.39(Debug=False)

Meldungen
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Zwischenzone Störerfassung.SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Zwischenzone Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Vorzone Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Vorzone Störerfassung.Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Vorzone Störerfassung.SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Vorzone Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Variant" des Items "RFC_IDB Vorzone Allgemein.SI6 Positionierungsbausteinactual_values" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Variant" des Items "RFC_IDB Vorzone Allgemein.SI6 Positionierungsbausteinsetpoint_values" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Vorzone Allgemein.SI6 PositionierungsbausteinBetriebsstundenzähler" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Vorzone Allgemein.Luftsystem ein VentilatorBetriebsstunden" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Trockner Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Trockner Störerfassung.Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
